feature,is_signal,naive_logOR,naive_se_boot,naive_p_boot,lambda_logOR,lambda_se_boot,lambda_p_boot
549,0,0.17515312561034338,0.14908737816369555,0.24006058507214245,0.4363907353693841,0.4087735574385707,0.2857185532792429
550,0,-0.013996139779901664,0.19387271758146488,0.9424487809877296,-0.027482645693831777,0.4735819838917878,0.9537235831828382
551,0,-0.04893578550891374,0.1324136929976829,0.7117048378823043,-0.11406197601772404,0.3099821412596957,0.7129007815150158
552,0,0.031995899791819195,0.12953543937444317,0.8049043629405849,0.07819613334608942,0.30335141373056224,0.7965812653067452
553,0,-0.239260952048241,0.13926968840311932,0.08580234221323442,-0.5602555319641196,0.32250639758686034,0.08235328756105707
554,0,-0.1834840579628198,0.1303289154080655,0.15917436768931104,-0.43141463824273163,0.2778714176135602,0.12052605965227182
555,0,-0.052980858396634994,0.1244293126615219,0.6702602806930985,-0.12390862908306574,0.3032130943804638,0.6827950841549248
556,0,0.11176284518608379,0.12187175384395489,0.3591149208751928,0.27209550430582924,0.3111916320228688,0.3819187540744494
557,0,-0.09618941555560337,0.12988835931391265,0.4589635739808472,-0.2252872066948183,0.3463799181899341,0.5154306931747374
558,0,-0.32146943895458185,0.12445802619183148,0.009795819502260201,-0.755058941632661,0.29994892269647744,0.011826086511855648
559,0,0.03699098362406613,0.15133415426605898,0.8068958840641283,0.09269814930682146,0.3696050601238081,0.8019662308059308
560,0,-0.26166551526375176,0.14027438503202122,0.062127676514122744,-0.6126080932669334,0.32010288592616093,0.055647636196924845
561,0,0.1336543536239077,0.16834368855302764,0.42723186432989535,0.33309328425952,0.3810864331212843,0.38208432690448135
562,0,-0.1245768429277234,0.13303790830506362,0.34906671472081696,-0.29305882374766407,0.29296187501843657,0.31715038550778496
563,0,-0.06957924823606214,0.1450853518218725,0.6315299175019531,-0.1623598087373446,0.34694697570609984,0.6398080376813148
564,0,0.19551289644722758,0.15982650291266995,0.22122317426384064,0.4901886429394545,0.42829104346479485,0.2524071020775488
565,0,-0.022153274251125003,0.12390964544565983,0.8581059642709467,-0.05146285365497628,0.29031650845337575,0.859300517883823
566,0,-0.13966918608104245,0.14553170798975182,0.3371979006054542,-0.3258381895812904,0.36915006717367876,0.37741386385970344
