feature,mean_shap,std_shap,t_stat,p_value,p_two,log_or,group
H65.03,1.5405094e-06,3.659409e-05,5.953446,2.669388710074827e-09,8.797892146156475,2.4862376703122404,H
F8,0.00010982249,0.0026149466,5.939412,2.9077842356173282e-09,8.587158808071605,4.157555065453891,F
J2,5.609756e-06,0.00013408855,5.9165325,3.3415750166909675e-09,8.55212254563498,3.0144792386779793,J
R68.89,-2.0134673e-06,4.8707054e-05,-5.84612,5.109949574588768e-09,8.465904195890383,-2.5230400250878833,R
Z38.01,-1.5301937e-05,0.00037165268,-5.822696,5.8792037904709105e-09,8.374341437070587,-3.6497950074695575,Z
P8,2.2595248e-06,5.4950237e-05,5.8151717,6.149407649758132e-09,8.52640301040247,2.5487206083800897,P
Z13.41,2.9877245e-05,0.0007290462,5.795628,6.908890792800548e-09,8.193025187626002,3.7795152296138634,Z
P39,-9.3594295e-08,2.288546e-06,-5.7836857,7.417092273698245e-09,7.989246881535562,-0.3047093540975706,P
Z46,-3.9071745e-07,9.682881e-06,-5.706545,1.169232843878376e-08,7.919010363497845,-0.8373005829531996,Z
J9,6.8483297e-07,1.7093224e-05,5.6659884,1.4819014459988013e-08,7.671457864505026,1.5536698647881477,J
Z20.82,5.783318e-05,0.0014568723,5.6139765,2.0035268111229243e-08,7.620791830158706,4.074336609445883,Z
Z13.9,-3.1274092e-06,7.973248e-05,-5.54708,2.941577692538999e-08,7.659367855624875,-2.7952633625584267,Z
7,2.4820352e-07,6.339135e-06,5.537235,3.1114838261459e-08,7.730512110669129,0.5398293904833815,other
P22,-1.7158766e-06,4.456839e-05,-5.4447017,5.250328394268423e-08,7.343212885948753,-2.655889321319862,P
Z4,-1.173908e-05,0.00030497072,-5.4436593,5.2811141237896215e-08,6.981520510321699,-3.4039552439247442,Z
Q67,6.930772e-06,0.00018067197,5.4250765,5.8602288355302796e-08,7.3021811255845055,3.078291851523725,Q
S80,3.3519407e-06,8.775535e-05,5.40179,6.673239627552618e-08,6.986646662011824,2.552745606351352,S
H65.90,4.7540772e-07,1.2518125e-05,5.3708367,7.924711553641829e-08,7.12177188907399,0.9201189458722451,H
Z05.1,3.4385394e-06,9.061101e-05,5.366709,8.107872062623755e-08,6.814347452006964,2.703949589327507,Z
Z91,6.588524e-07,1.7391008e-05,5.3576994,8.522042138636722e-08,7.257846854693954,1.7296237587469736,Z
K90.49,7.526264e-06,0.00020035749,5.312377,1.0936214067669425e-07,6.982989885797338,3.1308653475053996,K
R26.0,-6.765224e-07,1.8059269e-05,-5.2978177,1.1843542124800877e-07,6.796715246293056,-1.476941056975112,R
Z20.81,-1.1163926e-06,2.9810752e-05,-5.2961345,1.1953023104638305e-07,7.024189627201877,-2.4075094273718376,Z
H66,2.458027e-05,0.0006582403,5.281012,1.2981545527424032e-07,6.625161608914337,3.6176004925184686,H
H93.29,7.694632e-06,0.00020678701,5.262348,1.4369380907375273e-07,6.892098661561521,3.352728407682884,H
P00.9,-9.516838e-07,2.5581927e-05,-5.261074,1.4469184561605178e-07,6.926888670457357,-2.0758774381692047,P
L21.0,8.489844e-07,2.3183718e-05,5.1788297,2.254460806927483e-07,6.7622955310815165,1.9936053927864104,L
N,-5.736106e-07,1.5782789e-05,-5.139826,2.7758122533860785e-07,6.351879892846646,-1.350985817009198,N
S80.86,7.756204e-06,0.00021680362,5.0593843,4.243358824318477e-07,6.306252134421459,3.323699170878004,S
Q,6.046571e-06,0.00017196186,4.9726973,6.657443121227402e-07,5.923041806651846,2.926584584689985,Q
B08,-2.1147325e-06,6.0312686e-05,-4.958631,7.157304307003898e-07,6.095805015816639,-2.707528763239164,B
Z7,3.770709e-06,0.00010835654,4.9213347,8.663966271083012e-07,6.20011133723995,3.1536209597264,Z
H91.93,1.3116353e-06,3.7944617e-05,4.888526,1.0238126417760895e-06,5.8279816591204385,2.494195975037647,H
P07.15,1.0468975e-07,3.0349781e-06,4.8782444,1.07857163311742e-06,6.1672958443797885,0.20183405306874236,P
Z1,2.3900739e-06,6.942521e-05,4.8686566,1.1321676030018324e-06,5.716285197442569,2.624355078011463,Z
Z43,6.3909323e-07,1.8642708e-05,4.848085,1.255947767564436e-06,5.6881368214947905,1.3742993590000663,Z
F80.1,2.4765854e-05,0.00072577945,4.8257365,1.4051535350834143e-06,6.038141006345168,3.7290402684176334,F
Z98,5.4605505e-07,1.619059e-05,4.7696743,1.8582469563099837e-06,5.592181913997417,1.4444291881160116,Z
H3,9.977497e-07,2.9719207e-05,4.747876,2.0698745120117934e-06,5.707171033448436,2.2255377801861,H
P07,1.8770547e-06,5.6072855e-05,4.73412,2.215143745099013e-06,5.635177471022854,2.7285624601991634,P
P83.81,1.7136075e-05,0.0005138892,4.715816,2.4236821705159173e-06,5.869453404280298,3.6088002745927548,P
Z01.81,2.634176e-07,7.9492975e-06,4.6863103,2.8000647624981667e-06,5.5621979267472685,0.47082090902029433,Z
L70.4,1.6629238e-06,5.067862e-05,4.640476,3.4981155410118703e-06,5.729489249491935,2.4520161929316946,L
R27.8,7.2714874e-06,0.00022178421,4.6366854,3.562788307709397e-06,5.4494581711776044,3.182013885246698,R
832,2.5885075e-07,8.110484e-06,4.513544,6.411663806549228e-06,5.230851242236448,0.8118854526870538,other
H5,5.6005106e-06,0.00017554397,4.5118713,6.46239703816498e-06,5.124577007100447,3.037857163418974,H
M,7.0620524e-07,2.2207903e-05,4.4971604,6.925418633452196e-06,5.314246820287741,1.1085172977742639,M
R93,2.4579475e-07,7.734991e-06,4.493945,7.030763521376215e-06,5.04833549098462,0.6954003275170234,R
H61.23,-7.0785984e-07,2.2334229e-05,-4.4822006,7.428729930980538e-06,5.255271736051424,-1.501799454498004,H
R46,7.443086e-06,0.0002359939,4.460333,8.2278232460542e-06,5.295899393207802,3.309028061930238,R
R06.83,5.1843854e-06,0.00016640093,4.406122,1.0578465668098502e-05,5.13793114460623,3.095232878048677,R
P70.0,4.8560737e-06,0.00015600472,4.4021263,1.0775041164645671e-05,4.793581923400816,2.9152498390075245,P
Q6,1.279508e-06,4.1201714e-05,4.3918014,1.1299251282848031e-05,4.835808463600212,2.6636704728042275,Q
Q82.8,2.555927e-07,8.259013e-06,4.3765845,1.2116419761509787e-05,4.88782351723766,0.26715059398193014,Q
L92.9,-7.372294e-07,2.383261e-05,-4.374677,1.2222739603551249e-05,4.862311557728933,-1.8119117135877467,L
Q53.10,6.033559e-07,1.951009e-05,4.373502,1.2288702002427598e-05,4.450428964279255,1.2949801466835493,Q
Z87.89,-4.9778555e-07,1.6101278e-05,-4.372169,1.2363906059187356e-05,4.809997311692996,-1.0933608736816474,Z
M95.2,2.138728e-06,6.919485e-05,4.3711605,1.2421105320736814e-05,4.926188481611713,2.6742516131701404,M
Z09,7.1313565e-07,2.3175207e-05,4.3517456,1.3572741361711492e-05,4.866655404066544,1.5731972237673502,Z
Z23,7.8155307e-07,2.5624784e-05,4.313336,1.6158011398426098e-05,4.691850912709229,1.549995339609294,Z
T,6.8279626e-08,2.2390118e-06,4.3127046,1.6204192499147396e-05,4.748223217693484,0.12775616921819424,other
H6,9.371246e-06,0.00030747932,4.31019,1.6389366051194898e-05,4.906709240895908,3.212274968748401,H
R3,7.990087e-07,2.6281936e-05,4.299413,1.720614914080265e-05,4.755104140364312,1.9192285137508724,R
Q54,-3.6898825e-07,1.2176115e-05,-4.2856708,1.8304050410034023e-05,4.932121342339617,-0.7555833231671568,Q
R11.12,6.0769014e-07,2.0103445e-05,4.274907,1.9210253331625186e-05,4.955000871478844,1.2746201924764091,R
R10.83,-8.1522614e-07,2.7000664e-05,-4.2699094,1.9645398095402555e-05,4.79885612767968,-1.818694885748608,R
Z71.3,2.4623255e-06,8.1663995e-05,4.264124,2.016085333678141e-05,4.5737507015653005,2.603755302846236,Z
L30.8,3.760102e-07,1.2567945e-05,4.2310715,2.3361631692475623e-05,4.684180059293265,0.810318842879565,L
F82,6.5963254e-06,0.00022073898,4.2260833,2.3884804712714924e-05,4.523535259513031,3.0757931168443386,F
H92.03,8.9347634e-07,2.9964689e-05,4.216851,2.4882628002043106e-05,4.562775873383029,1.9641185553361866,H
H61,-1.0976681e-06,3.68173e-05,-4.2163253,2.4940652024740828e-05,4.338017216702044,-2.382122328224773,H
Z98.89,1.7194219e-07,5.771093e-06,4.2134647,2.525849389267698e-05,4.673211919573049,0.42440939658786414,Z
R46.89,4.0392138e-06,0.00013563578,4.2115073,2.5478203368844987e-05,4.381377126070267,3.1011700808598173,R
R0,5.9258826e-07,1.9922561e-05,4.206519,2.604635023195634e-05,4.8481374365328955,1.349744769834255,R
M62.81,1.8731013e-06,6.301384e-05,4.2037835,2.636302776215516e-05,4.4996178642248905,2.6721360792159268,M
P92.2,1.1600725e-06,3.9109334e-05,4.1948814,2.7419080551149836e-05,4.339552978100802,2.429750468751754,P
L71.0,5.8633617e-07,1.9881014e-05,4.1708364,3.047630538932644e-05,4.388440758083806,1.321683927309306,L
M43,-6.9844003e-07,2.3769497e-05,-4.155508,3.259147952605623e-05,4.552733028727405,-1.5876307740765707,M
H,1.948489e-07,6.6394296e-06,4.150326,3.333760445611844e-05,4.68752566422017,0.32582502180602624,H
E73.9,1.5137601e-06,5.1633117e-05,4.1461377,3.3952413932558656e-05,4.300604265250526,2.3541981589153176,E
R30.0,9.590613e-07,3.2749194e-05,4.141529,3.464140540998528e-05,4.413845956986197,2.3632734281529673,R
Z01.11,-2.9259093e-07,1.0027425e-05,-4.126544,3.697462703255994e-05,4.337340936986705,-0.7270990239562074,Z
R06.03,9.0733784e-07,3.1266176e-05,4.104018,4.076452592327584e-05,4.358977846634267,1.9611461359768405,R
H50.05,-2.3090692e-07,8.076999e-06,-4.042983,5.297309701202124e-05,4.384789407449664,-0.26715513872690544,H
S00.83,7.096225e-07,2.5092997e-05,3.999354,6.374394278663154e-05,4.239902930101872,1.6271912433488995,S
Z96.22,-1.041358e-06,3.6952115e-05,-3.9854352,6.759546840817698e-05,4.188386712527229,-2.167361900810113,Z
L7,3.2531875e-06,0.000115487936,3.983708,6.808853291584427e-05,4.058533777054201,2.5163314706276068,L
L21,7.991648e-07,2.8485076e-05,3.9676554,7.283631624321885e-05,4.053922658381754,1.748697393567412,L
E72.9,-3.0403288e-07,1.0865006e-05,-3.9573603,7.604430139629414e-05,4.231688326304208,-0.49346203506115105,E
P28.89,2.4990402e-07,8.985397e-06,3.933245,8.408956143157731e-05,4.059449802985933,0.5226371645897145,P
B0,-1.4342198e-05,0.0005210117,-3.8929894,9.933785959170828e-05,4.0343956080083325,-3.579254948069043,B
R13.10,-2.5463606e-07,9.360679e-06,-3.8470478,0.0001199206581963,3.7427830284492645,-0.727347000187515,R
I61,-7.1400564e-08,2.6273365e-06,-3.8432705,0.0001217808828231,3.7045086659052067,-0.1295538852652544,I
Z91.89,2.7262233e-06,0.000100361394,3.8415787,0.0001226228602793,3.8343149451007608,2.6979105924447686,Z
G80.9,2.2696636e-07,8.383157e-06,3.8288548,0.0001291333812281,3.869983119514854,0.65006213201521,G
P03,-3.5111218e-06,0.00012969557,-3.8285625,0.0001292867046813,4.053952085213836,-2.7659248682634012,P
Q62.0,4.6895906e-07,1.733681e-05,3.8254344,0.0001309382687799,3.7247915908896476,1.3487671053273618,Q
M95,9.352374e-07,3.4653436e-05,3.8167222,0.0001356436567709,3.8957888533016147,2.3825108083532704,M
Q54.9,-6.1754247e-07,2.2898115e-05,-3.8140123,0.0001371394025815,3.9495042495865214,-1.4938855843153258,Q
P05.18,3.88112e-06,0.00014411549,3.8085654,0.0001401930257889,3.765858934818191,2.7413546533902204,P
Q75.0,-3.00935e-07,1.1232547e-05,-3.7888677,0.0001517788911813,4.0645707962653335,-0.4395119225087707,Q
E86,-1.5336934e-07,5.77592e-06,-3.755194,0.0001736980277724,3.778273071319402,-0.3495559381996112,E
R26.9,7.0494383e-07,2.6562804e-05,3.753147,0.0001751222005808,3.5138749537412055,1.711138625506074,R
P03.6,-1.1676751e-06,4.404754e-05,-3.7489994,0.000178041433666,3.924855857812534,-2.4802506427623,P
D50.8,-1.4094562e-07,5.3267718e-06,-3.741989,0.0001830800256437,3.9395637000920956,-0.3277735454304276,D
P28.4,1.1320936e-06,4.2812342e-05,3.7396276,0.000184807118539,3.7969883622721103,2.288942552322278,P
P22.0,3.1982927e-07,1.2129457e-05,3.7289953,0.0001927752251031,3.9819437490162533,0.7628384206992727,P
J05.0,5.589897e-06,0.00021319409,3.7080333,0.0002094394839542,3.804785788536274,2.9338151524048963,J
K5,-9.595309e-07,3.6695474e-05,-3.6979535,0.0002179259377044,3.7602931631031713,-2.325916922092304,K
F9,1.4120108e-05,0.0005401374,3.696994,0.0002187502865265,3.7416399824207796,3.4259587800065887,F
F81,-6.5263794e-06,0.00024971986,-3.6960194,0.0002195907437234,3.6165591423140118,-3.1453715366238364,F
J09.X2,8.9121556e-07,3.4225144e-05,3.6825821,0.0002314912740444,3.806645182002594,2.3162545343920864,J
R47.89,1.2669154e-06,4.9212635e-05,3.6407092,0.0002725738426438,3.5137483674610595,2.4315846797428313,R
J35,2.750943e-07,1.0833989e-05,3.5909405,0.00033027609293,3.359286440606231,0.45535715688663225,J
Q89.7,-3.1253774e-07,1.23855425e-05,-3.5686374,0.0003596824015397,3.730500370864548,-0.8894762571318274,Q
T07,1.102646e-07,4.373839e-06,3.5652363,0.0003643761151836,3.356657447865761,-0.09858083810339568,other
L21.9,-3.854828e-07,1.5304868e-05,-3.5619714,0.000368935776863,3.5781182431202456,-0.8146227357576201,L
Z13.0,4.4935382e-07,1.7858814e-05,3.5583677,0.0003740304975301,3.169747374277168,0.9260333970579853,Z
R6,-1.591174e-05,0.0006328765,-3.555607,0.0003779777711663,3.4169774208202237,-3.5085486326969613,R
M24,-1.3232668e-07,5.2982064e-06,-3.5321043,0.0004131951021131,3.5239314764032774,-0.08020638780571984,M
L20,3.3912283e-06,0.00013587592,3.529633,0.0004170709928121,3.5222384278187953,2.915564404494116,L
P00.2,-6.4809984e-07,2.60057e-05,-3.5244255,0.0004253500298887,3.4850909551957128,-1.426500851041767,P
D6,2.7707597e-07,1.1126934e-05,3.5215867,0.0004299276674857,3.206384213330007,0.6832040809851552,D
P39.1,-5.715095e-07,2.2969385e-05,-3.5187554,0.0004345387841599,3.329737603506423,-1.3609871555310762,P
J18.9,6.6607655e-08,2.6771854e-06,3.5185254,0.0004349155195042,3.330901225200257,0.13769592279503384,J
K00,-1.4327336e-06,5.767017e-05,-3.513413,0.0004433659353608,3.0930472776397355,-2.580338467989357,K
R30,2.8836687e-06,0.00011681627,3.4910576,0.0004821495285023,2.864104137006601,2.4044827760472143,R
Z41,-5.221263e-06,0.00021207414,-3.4817922,0.0004991330542336,3.0790444605618066,-2.9077369746743154,Z
Q76,-3.2925465e-07,1.3461513e-05,-3.45902,0.0005432739897257,3.413775142161998,-0.9287318825186811,Q
H10.9,6.2550657e-06,0.00025671298,3.4458714,0.0005703901037994,3.513198329542423,3.2337014895257115,H
