method,p_sel,q_sel,n,theta,detK,bias_mean,bias_sd,rmse,cover_95,se_mean,feasible_rate,lam_median
lambda-OR,0.9,0.8,5000,0.4,0.7000000000000002,-0.01066427410893693,0.07902622381267942,0.07725638672130292,0.9375,0.07209955948325235,1.0,0.0
lambda-OR,0.9,0.8,5000,0.7,0.7000000000000002,-0.017116933274343646,0.12812448257336415,0.125231304990974,0.8125,0.0729475771767724,1.0,0.0
lambda-OR,0.9,0.8,5000,1.1,0.7000000000000002,-0.046966578007134226,0.11457074612886674,0.12046539680108405,0.75,0.07593354918999472,1.0,0.0
lambda-OR,0.9,0.8,5000,1.4,0.7000000000000002,-0.03615199675940978,0.1302957750196196,0.131236024192704,0.75,0.08029344008049547,1.0,0.0
lambda-OR,0.9,0.8,10000,0.25,0.7000000000000002,-0.010857002149367702,0.08045061589761296,0.0786489494149957,0.6875,0.04998565267876152,1.0,0.0
lambda-OR,0.9,0.8,10000,0.4,0.7000000000000002,0.02905824987682221,0.06725898321116436,0.07131210999606621,0.875,0.050659107055362904,1.0,0.0
lambda-OR,0.9,0.8,10000,0.7,0.7000000000000002,-0.0062429627114704775,0.07165306872949267,0.06965810577831645,0.875,0.05159929533250846,1.0,0.0
lambda-OR,0.9,0.8,10000,1.1,0.7000000000000002,-0.00992410911429397,0.12355948451084553,0.12004686591499036,0.75,0.05414929760867721,1.0,0.0
lambda-OR,0.9,0.8,10000,1.4,0.7000000000000002,0.020796679201909793,0.14535495956082947,0.14226757226419998,0.5625,0.05704070854597034,1.0,0.0
lambda-OR,0.9,0.8,20000,0.25,0.7000000000000002,-0.02111714550271082,0.06256542143436838,0.06415382916076814,0.6875,0.03541956250086343,1.0,0.0
lambda-OR,0.9,0.8,20000,0.4,0.7000000000000002,-0.027093618948539906,0.0467713987254841,0.05277220094704937,0.75,0.035453222174671555,1.0,0.0
lambda-OR,0.9,0.8,20000,0.7,0.7000000000000002,-0.00024573011092236807,0.056579752258609284,0.05478366066702887,0.75,0.036449196207032,1.0,0.0
lambda-OR,0.9,0.8,20000,1.1,0.7000000000000002,-0.002571749265643311,0.0593778226989476,0.057549820664132084,0.8125,0.038160486993396234,1.0,0.0
lambda-OR,0.9,0.8,20000,1.4,0.7000000000000002,-0.024517394879380663,0.07505036444436838,0.07669175333568767,0.8125,0.03994077813725588,1.0,0.0
lambda-OR,0.9,0.8,35000,0.25,0.7000000000000002,-0.010521208759985272,0.03994268574293031,0.04007992445236486,0.875,0.026774527806070612,1.0,0.0
lambda-OR,0.9,0.8,35000,0.4,0.7000000000000002,0.0029152184160302352,0.049035815011955,0.04756813749961119,0.5625,0.027006506235994758,1.0,0.0
lambda-OR,0.9,0.8,35000,0.7,0.7000000000000002,0.0009451394765010307,0.055231922636214605,0.05348643039913988,0.5625,0.027628713426674865,1.0,0.0
lambda-OR,0.9,0.8,35000,1.1,0.7000000000000002,-0.006928591076118887,0.054592008170938,0.05331064406548987,0.75,0.028877466091825094,1.0,0.0
lambda-OR,0.9,0.8,35000,1.4,0.7000000000000002,0.005469883001467293,0.0751592867482217,0.07297794602151951,0.5,0.030587780321945767,1.0,0.0
lambda-OR,0.9,0.8,50000,0.25,0.7000000000000002,0.006734177928573351,0.035823760128368055,0.03533386591147519,0.6875,0.022519605564744447,1.0,0.0
lambda-OR,0.9,0.8,50000,0.4,0.7000000000000002,-0.007097216343587485,0.05148506704495093,0.05035288572079891,0.5625,0.022597197109384983,1.0,0.0
lambda-OR,0.9,0.8,50000,0.7,0.7000000000000002,0.00886620354201171,0.03622712489588454,0.036179951041032686,0.75,0.023191273308257116,1.0,0.0
lambda-OR,0.9,0.8,50000,1.1,0.7000000000000002,0.01400524572476404,0.03320659297720826,0.03507003509255266,0.8125,0.02431140752424843,1.0,0.0
lambda-OR,0.9,0.8,50000,1.4,0.7000000000000002,0.010032837291878302,0.0350635365735447,0.0354015352259523,0.875,0.025534311082301097,1.0,0.0
lambda-OR,0.9,0.9,5000,0.25,0.8,-0.014265010469940612,0.0869329066243016,0.08537263986180063,0.875,0.07095797834659474,1.0,0.0
lambda-OR,0.9,0.9,5000,0.4,0.8,-0.01646682990965262,0.08592106863424255,0.08480674881942186,0.9375,0.07160001973602659,1.0,0.0
lambda-OR,0.9,0.9,5000,0.7,0.8,-0.014135696010071513,0.10357325924938411,0.10127573342740119,0.8125,0.07247450509171995,1.0,0.0
lambda-OR,0.9,0.9,5000,1.1,0.8,-0.034000494643663164,0.12584669640613644,0.12650528722184262,0.5625,0.07633689834810686,1.0,0.0
lambda-OR,0.9,0.9,5000,1.4,0.8,0.047087310921422765,0.1314986345125812,0.1357511051467614,0.6875,0.08056331864379616,1.0,0.0
lambda-OR,0.9,0.9,10000,0.25,0.8,-0.004045139471250552,0.07702160419857462,0.07468547514129598,0.8125,0.05028352501613626,1.0,0.0
lambda-OR,0.9,0.9,10000,0.4,0.8,-0.001092780610759382,0.07128129261562739,0.06902646542528655,0.9375,0.05053773578992194,1.0,0.0
lambda-OR,0.9,0.9,10000,0.7,0.8,-0.032833346458653975,0.05272495266298947,0.06069764602854324,0.875,0.051392677676729705,1.0,0.0
lambda-OR,0.9,0.9,10000,1.1,0.8,-0.014589499229017838,0.09125487902065615,0.08955356287586186,0.625,0.05407969447078237,1.0,0.0
lambda-OR,0.9,0.9,10000,1.4,0.8,0.0027829707576089435,0.07717869248636382,0.07477975052962782,0.9375,0.05696014462320529,1.0,0.0
lambda-OR,0.9,0.9,20000,0.25,0.8,-0.016882984475226792,0.03910517425394752,0.04145689209748934,0.875,0.035521899802228044,1.0,0.0
lambda-OR,0.9,0.9,20000,0.4,0.8,-0.013485465758705656,0.0496302336096988,0.04991062381270064,0.875,0.035660445020470645,1.0,0.0
lambda-OR,0.9,0.9,20000,0.7,0.8,-0.0018714606361131605,0.04942315053710291,0.04789034021451859,0.8125,0.03644690499952251,1.0,0.0
lambda-OR,0.9,0.9,20000,1.1,0.8,0.00626369536180766,0.05688545702764023,0.05543412215866069,0.875,0.03842965245596785,1.0,0.0
lambda-OR,0.9,0.9,20000,1.4,0.8,0.012329823090868844,0.0608862285869569,0.06022841162627355,0.75,0.04035979183499636,1.0,0.0
lambda-OR,0.9,0.9,35000,0.25,0.8,0.00493291818089585,0.025158141863850538,0.02485372260735683,0.9375,0.026819111629124977,1.0,0.0
lambda-OR,0.9,0.9,35000,0.4,0.8,0.0006384611825431645,0.03575268297906252,0.03462327362657057,0.8125,0.02700519389766252,1.0,0.0
lambda-OR,0.9,0.9,35000,0.7,0.8,-0.00586141145162801,0.03478680203948244,0.034188377273293206,0.875,0.027601181910999206,1.0,0.0
lambda-OR,0.9,0.9,35000,1.1,0.8,-0.005044808143304852,0.049394436048855114,0.0480912908669612,0.75,0.02886799347771657,1.0,0.0
lambda-OR,0.9,0.9,35000,1.4,0.8,0.00585138269209326,0.032000829401388486,0.031532339655305476,1.0,0.03044245683890877,1.0,0.0
lambda-OR,0.9,0.9,50000,0.25,0.8,-0.008781797982591493,0.03361630562273025,0.033712719844226496,0.8125,0.02241681361102281,1.0,0.0
lambda-OR,0.9,0.9,50000,0.4,0.8,0.006261033218745288,0.026004701938234714,0.025945708261322014,0.875,0.022614260149018392,1.0,0.0
lambda-OR,0.9,0.9,50000,0.7,0.8,0.005494171996632907,0.03341734737155668,0.03281935537446487,0.6875,0.023079105757175217,1.0,0.0
lambda-OR,0.9,0.9,50000,1.1,0.8,0.003051402343980686,0.030996958001641723,0.030167395459099054,0.8125,0.024168496840776134,1.0,0.0
lambda-OR,0.9,0.9,50000,1.4,0.8,0.004743760752474249,0.036876887750630645,0.03601963441115886,0.75,0.025404649320806404,1.0,0.0
lambda-OR,0.9,0.95,5000,0.25,0.8500000000000001,-0.024221090789435518,0.0555971851453513,0.0590298043183369,1.0,0.07090620711517136,1.0,0.0
lambda-OR,0.9,0.95,5000,0.4,0.8500000000000001,0.017449719602056626,0.08726556094920154,0.08627755188334352,0.8125,0.07168052772440102,1.0,0.0
lambda-OR,0.9,0.95,5000,0.7,0.8500000000000001,-0.016037104863325588,0.06433310144139924,0.06432157435223294,1.0,0.07320257341004768,1.0,0.0
lambda-OR,0.9,0.95,5000,1.1,0.8500000000000001,-0.01173036160208931,0.09607928579645648,0.0937650186371528,0.875,0.07679936058904313,1.0,0.0
lambda-OR,0.9,0.95,5000,1.4,0.8500000000000001,0.022212540696295302,0.08038586522615886,0.08094081995095469,0.9375,0.08062596144017203,1.0,0.0
lambda-OR,0.9,0.95,10000,0.25,0.8500000000000001,0.01658845620260374,0.05825993936430933,0.05879845772210263,0.9375,0.0503990192628397,1.0,0.0
lambda-OR,0.9,0.95,10000,0.4,0.8500000000000001,-0.021307524375582896,0.07098911172643474,0.0719617864198946,0.8125,0.05057083838288566,1.0,0.0
lambda-OR,0.9,0.95,10000,0.7,0.8500000000000001,0.021384177607002057,0.0571133840742323,0.05929039152605509,0.9375,0.05172131356989771,1.0,0.0
lambda-OR,0.9,0.95,10000,1.1,0.8500000000000001,0.03650858486354812,0.07967676904914021,0.08534922421713655,0.8125,0.05470606907790287,1.0,0.0
lambda-OR,0.9,0.95,10000,1.4,0.8500000000000001,-0.00027020591911398884,0.05051613569073516,0.04891278440799698,1.0,0.056646969322991764,1.0,0.0
lambda-OR,0.9,0.95,20000,0.25,0.8500000000000001,0.01718808880235357,0.04398331275793716,0.045924437506271676,0.8125,0.0356261191410219,1.0,0.0
lambda-OR,0.9,0.95,20000,0.4,0.8500000000000001,-0.013176699606145047,0.043851483989996116,0.04445664764832886,0.9375,0.03572214144391256,1.0,0.0
lambda-OR,0.9,0.95,20000,0.7,0.8500000000000001,0.01829658433269836,0.04354616280346753,0.04596212054200732,0.9375,0.03650239157279004,1.0,0.0
lambda-OR,0.9,0.95,20000,1.1,0.8500000000000001,0.0066385349235063215,0.052212219786204786,0.05098827117578986,0.8125,0.03835523709593303,1.0,0.0
lambda-OR,0.9,0.95,20000,1.4,0.8500000000000001,-0.002889198085525624,0.049155355725325346,0.04768208153783217,0.9375,0.040302546651225256,1.0,0.0
lambda-OR,0.9,0.95,35000,0.25,0.8500000000000001,-0.018546826814600112,0.04093473652074712,0.04375967490781119,0.75,0.02681222738840302,1.0,0.0
lambda-OR,0.9,0.95,35000,0.4,0.8500000000000001,0.008970101784683809,0.032440444418476946,0.03266605666386152,0.875,0.027013864717944255,1.0,0.0
lambda-OR,0.9,0.95,35000,0.7,0.8500000000000001,-0.003573391728644834,0.04221477912366849,0.04103018683088961,0.75,0.027594183621560475,1.0,0.0
lambda-OR,0.9,0.95,35000,1.1,0.8500000000000001,0.009263219503703124,0.03798470140517293,0.03792713316494437,0.8125,0.028931937518915603,1.0,0.0
lambda-OR,0.9,0.95,35000,1.4,0.8500000000000001,0.010497759810100135,0.04289087442752338,0.04283518852375678,0.75,0.030375506897849746,1.0,0.0
lambda-OR,0.9,0.95,50000,0.25,0.8500000000000001,-0.008669085984501588,0.01690783218964403,0.018524596266188152,1.0,0.022422904385907726,1.0,0.0
lambda-OR,0.9,0.95,50000,0.4,0.8500000000000001,-0.0015062720573528234,0.024112249412501136,0.023395125379195063,1.0,0.022622470913570742,1.0,0.0
lambda-OR,0.9,0.95,50000,0.7,0.8500000000000001,0.005019668572985879,0.03169436217687177,0.031095761435747507,0.875,0.023114033700955803,1.0,0.0
lambda-OR,0.9,0.95,50000,1.1,0.8500000000000001,0.013466984664215073,0.032654049630244125,0.03436573436393071,0.875,0.024258060382199298,1.0,0.0
lambda-OR,0.9,0.95,50000,1.4,0.8500000000000001,-0.003388051126808997,0.025562253078031578,0.02498136053063609,1.0,0.025454849786071335,1.0,0.0
lambda-OR,0.93,0.6,5000,0.25,0.53,-0.03661268569576873,0.1860550579363195,0.1838299296933552,0.5625,0.07048938121285683,1.0,0.0
lambda-OR,0.93,0.6,5000,0.4,0.53,-0.011024076124078519,0.17299067714336167,0.16785989316763802,0.625,0.0722214319820115,1.0,0.0
lambda-OR,0.93,0.6,5000,0.7,0.53,0.009823371913113194,0.14168543642613446,0.13753759067997925,0.625,0.07361828948984372,1.0,0.0
lambda-OR,0.93,0.6,5000,1.1,0.53,-0.02535117741856325,0.2081889843610379,0.20316599021540963,0.375,0.07768289422540171,1.0,0.0
lambda-OR,0.93,0.6,5000,1.4,0.53,0.03778866191102368,0.30774169817019165,0.3003562488315449,0.1875,0.08211867414106737,1.0,0.0
lambda-OR,0.93,0.6,10000,0.25,0.53,0.04190187827588786,0.10699562579825578,0.11175118499040702,0.625,0.050495761569974255,1.0,0.0
lambda-OR,0.93,0.6,10000,0.4,0.53,0.005190492031757171,0.08751366647184404,0.08489356814958257,0.75,0.050611717597732656,1.0,0.0
lambda-OR,0.93,0.6,10000,0.7,0.53,0.013223604022624298,0.10782339817887993,0.10523369742392819,0.75,0.051555218792787225,1.0,0.0
lambda-OR,0.93,0.6,10000,1.1,0.53,-0.05325632019531167,0.13673946250041782,0.14270708184194045,0.4375,0.05388384078383501,1.0,0.0
lambda-OR,0.93,0.6,10000,1.4,0.53,0.019573936190848087,0.21051952016797412,0.20477232009361718,0.4375,0.057540867975971764,1.0,0.0
lambda-OR,0.93,0.6,20000,0.25,0.53,-0.00011630521434846143,0.09444453415400768,0.0914456009412013,0.5625,0.035633268850845924,1.0,0.0
lambda-OR,0.93,0.6,20000,0.4,0.53,-0.005635378249880366,0.07405090959300888,0.07192060639239077,0.75,0.035730791992744815,1.0,0.0
lambda-OR,0.93,0.6,20000,0.7,0.53,0.02472225976199848,0.08257659900206149,0.08368932973542856,0.6875,0.036776864859423095,1.0,0.0
lambda-OR,0.93,0.6,20000,1.1,0.53,-0.01222076098179592,0.10574565652149097,0.10311453282667171,0.4375,0.03827735474544684,1.0,0.0
lambda-OR,0.93,0.6,20000,1.4,0.53,0.022150272275805044,0.16618207147847303,0.162422551967742,0.6875,0.0406212375568505,1.0,0.0
lambda-OR,0.93,0.6,35000,0.25,0.53,-0.0070622680209925775,0.06883165461248618,0.06701910185909414,0.5,0.026866812977242627,1.0,0.0
lambda-OR,0.93,0.6,35000,0.4,0.53,0.018241659012923368,0.0527332223254768,0.0542194735710351,0.6875,0.027047103033721907,1.0,0.0
lambda-OR,0.93,0.6,35000,0.7,0.53,0.004074613586899117,0.054181242769272164,0.052618761883513804,0.6875,0.027408855211985852,1.0,0.0
lambda-OR,0.93,0.6,35000,1.1,0.53,-0.011887100618870591,0.08937780793764696,0.08735228204447998,0.4375,0.02892389384242513,1.0,0.0
lambda-OR,0.93,0.6,35000,1.4,0.53,-0.014561570060987308,0.09769103203250992,0.0957032180937212,0.4375,0.030383038023077756,1.0,0.0
lambda-OR,0.93,0.6,50000,0.25,0.53,0.011347592607186846,0.04860402184410913,0.048409419162879906,0.5625,0.022519589575740514,1.0,0.0
lambda-OR,0.93,0.6,50000,0.4,0.53,0.0015872858577513915,0.055021059688153184,0.0532975531570266,0.5625,0.022643291665777047,1.0,0.0
lambda-OR,0.93,0.6,50000,0.7,0.53,-0.01238027646666965,0.03918882257449055,0.039913028220653006,0.6875,0.023053523053477794,1.0,0.0
lambda-OR,0.93,0.6,50000,1.1,0.53,-0.002855842868603707,0.06967871165910076,0.06752653936274058,0.625,0.024288728860519002,1.0,0.0
lambda-OR,0.93,0.6,50000,1.4,0.53,-0.005025771591655889,0.04480212961368145,0.04366963787223954,0.9375,0.025356510161555757,1.0,0.0
lambda-OR,0.93,0.7,5000,0.25,0.6299999999999999,0.01834069120724255,0.15233114040163337,0.14862993900630408,0.5625,0.07056275430038551,1.0,0.0
lambda-OR,0.93,0.7,5000,0.4,0.6299999999999999,-0.01514303861334445,0.1256327730668464,0.12258234245857705,0.8125,0.07222218748228634,1.0,0.0
lambda-OR,0.93,0.7,5000,0.7,0.6299999999999999,0.0463360869196331,0.1083710175037666,0.11470524419637655,0.8125,0.07355794855525193,1.0,0.0
lambda-OR,0.93,0.7,5000,1.1,0.6299999999999999,-0.0030662288410475552,0.16725598800959865,0.1619739390737164,0.6875,0.07710575091488123,1.0,0.0
lambda-OR,0.93,0.7,5000,1.4,0.6299999999999999,0.05261676912886297,0.2141203170088448,0.2138938175001331,0.5,0.08157487248569775,1.0,0.0
lambda-OR,0.93,0.7,10000,0.25,0.6299999999999999,-0.03788299710627274,0.07558654735658071,0.0824097368471223,0.75,0.05026492908001013,1.0,0.0
lambda-OR,0.93,0.7,10000,0.4,0.6299999999999999,0.03399854626913888,0.10102251130369723,0.10355482703205492,0.625,0.05091316451264005,1.0,0.0
lambda-OR,0.93,0.7,10000,0.7,0.6299999999999999,0.05484627176315811,0.14794730850219776,0.15339000697094773,0.5625,0.05208651257706459,1.0,0.0
lambda-OR,0.93,0.7,10000,1.1,0.6299999999999999,0.0037704177982455372,0.12257712823956905,0.11874466891135302,0.625,0.05442161337161048,1.0,0.0
lambda-OR,0.93,0.7,10000,1.4,0.6299999999999999,0.015550788718291284,0.14630371678489534,0.14250896806260518,0.625,0.05781044828087584,1.0,0.0
lambda-OR,0.93,0.7,20000,0.25,0.6299999999999999,0.013772515948469063,0.097277768953542,0.09519039477459565,0.5,0.03560502887181184,1.0,0.0
lambda-OR,0.93,0.7,20000,0.4,0.6299999999999999,0.02144293335665494,0.06800095681960082,0.06924537086546172,0.625,0.03569569412726028,1.0,0.0
lambda-OR,0.93,0.7,20000,0.7,0.6299999999999999,0.010272109816594557,0.08337469200956636,0.0813781101005891,0.5625,0.036452016660559125,1.0,0.0
lambda-OR,0.93,0.7,20000,1.1,0.6299999999999999,0.009560545526363012,0.08592523295230235,0.0837442719536678,0.625,0.03829792851217231,1.0,0.0
lambda-OR,0.93,0.7,20000,1.4,0.6299999999999999,0.01085024016537875,0.12229548968591947,0.11890816975431209,0.375,0.04045091700096192,1.0,0.0
lambda-OR,0.93,0.7,35000,0.25,0.6299999999999999,0.01575676964395529,0.04715929362230868,0.04830398356898838,0.6875,0.02686872715388014,1.0,0.0
lambda-OR,0.93,0.7,35000,0.4,0.6299999999999999,-0.024369750437108425,0.047124192504306696,0.051727953377269494,0.6875,0.027021439601823342,1.0,0.0
lambda-OR,0.93,0.7,35000,0.7,0.6299999999999999,0.010887669210632847,0.06857602193993896,0.0672851781737848,0.5625,0.027640551090914473,1.0,0.0
lambda-OR,0.93,0.7,35000,1.1,0.6299999999999999,-0.008634364332754031,0.07404689042321115,0.07221364382818239,0.5625,0.02900170320315009,1.0,0.0
lambda-OR,0.93,0.7,35000,1.4,0.6299999999999999,0.026887714724381853,0.07301058214719401,0.07563289786514792,0.4375,0.030598543994301942,1.0,0.0
lambda-OR,0.93,0.7,50000,0.25,0.6299999999999999,-0.01677574942535604,0.044245300309749366,0.04600781950726959,0.6875,0.02243296887077538,1.0,0.0
lambda-OR,0.93,0.7,50000,0.4,0.6299999999999999,0.02213991705150686,0.047719919323990174,0.0512351657415854,0.6875,0.022600334597078303,1.0,0.0
lambda-OR,0.93,0.7,50000,0.7,0.6299999999999999,0.007817223506978672,0.04277288877243119,0.04214598434519779,0.75,0.023097122063418858,1.0,0.0
lambda-OR,0.93,0.7,50000,1.1,0.6299999999999999,0.026693551573016658,0.037156664309249667,0.04479815612008687,0.625,0.024349733464220594,1.0,0.0
lambda-OR,0.93,0.7,50000,1.4,0.6299999999999999,0.011511630130623313,0.06768259356624418,0.0665367774852888,0.5625,0.025480119086447085,1.0,0.0
lambda-OR,0.93,0.8,5000,0.25,0.73,0.028810293448448945,0.097203834025909,0.09842805379356372,0.75,0.07109387924632829,1.0,0.0
lambda-OR,0.93,0.8,5000,0.4,0.73,0.01213450410415474,0.07775873409454827,0.07626116719760619,0.9375,0.07098009966402118,1.0,0.0
lambda-OR,0.93,0.8,5000,0.7,0.73,-0.016558721143445053,0.07906203246159951,0.07832190569569569,0.9375,0.07346004462340677,1.0,0.0
lambda-OR,0.93,0.8,5000,1.1,0.73,-0.0385986822726845,0.1548202782000689,0.15479371565494093,0.75,0.0761517735357208,1.0,0.0
lambda-OR,0.93,0.8,5000,1.4,0.73,0.01264757981455035,0.18326401365172126,0.17789478296501574,0.5625,0.08075633255781994,1.0,0.0
lambda-OR,0.93,0.8,10000,0.25,0.73,-0.019312510968330858,0.08887115730157141,0.08818971321823771,0.6875,0.05001624810435793,1.0,0.0
lambda-OR,0.93,0.8,10000,0.4,0.73,0.015033352813050026,0.10778252995316091,0.10543722468706994,0.6875,0.05062782006709923,1.0,0.0
lambda-OR,0.93,0.8,10000,0.7,0.73,0.004090822725557927,0.09025444601021856,0.08748418880657911,0.75,0.051574490532341546,1.0,0.0
lambda-OR,0.93,0.8,10000,1.1,0.73,-0.025415993120668327,0.11389315801827649,0.11316755689894058,0.5625,0.05436076495287314,1.0,0.0
lambda-OR,0.93,0.8,10000,1.4,0.73,-0.04153696995258922,0.11048367691131425,0.11475647065719537,0.8125,0.056531577568059606,1.0,0.0
lambda-OR,0.93,0.8,20000,0.25,0.73,0.006384870333231849,0.060646717525984446,0.059067033057209235,0.8125,0.03553699310670422,1.0,0.0
lambda-OR,0.93,0.8,20000,0.4,0.73,0.009483344416594992,0.048035579003115225,0.04746722151498869,0.875,0.03561232446526476,1.0,0.0
lambda-OR,0.93,0.8,20000,0.7,0.73,-0.013954699457637859,0.06369631834267989,0.06323273121346465,0.625,0.03642327177654319,1.0,0.0
lambda-OR,0.93,0.8,20000,1.1,0.73,0.016918537553690133,0.07313297136623703,0.07280378729851243,0.6875,0.038437570131374485,1.0,0.0
lambda-OR,0.93,0.8,20000,1.4,0.73,-0.0025774998128299254,0.0782018009599568,0.07576242521249926,0.6875,0.04022211473554831,1.0,0.0
lambda-OR,0.93,0.8,35000,0.25,0.73,-0.0025247000536135315,0.03325700162382545,0.032299775657965483,0.9375,0.026882964144903276,1.0,0.0
lambda-OR,0.93,0.8,35000,0.4,0.73,0.0030260057391019064,0.03186661686664881,0.031002748295127038,0.9375,0.02704700860871901,1.0,0.0
lambda-OR,0.93,0.8,35000,0.7,0.73,0.001576489966851627,0.04238054435311295,0.041065057549608056,0.8125,0.0276114647131801,1.0,0.0
lambda-OR,0.93,0.8,35000,1.1,0.73,-0.007160148133392059,0.05823027335154655,0.05683405370001079,0.6875,0.02874784775655993,1.0,0.0
lambda-OR,0.93,0.8,35000,1.4,0.73,0.0011837870315588167,0.051931646261443636,0.05029653310563083,0.8125,0.03027537534302398,1.0,0.0
lambda-OR,0.93,0.8,50000,0.25,0.73,0.006259733562376975,0.03473017756226532,0.03420501309288262,0.75,0.022512424234833798,1.0,0.0
lambda-OR,0.93,0.8,50000,0.4,0.73,-0.004623729740412648,0.04251493927542617,0.04142377257633565,0.75,0.022558011929266104,1.0,0.0
lambda-OR,0.93,0.8,50000,0.7,0.73,-0.005347646820482686,0.04182605452927771,0.04084944903740868,0.75,0.02312064474312042,1.0,0.0
lambda-OR,0.93,0.8,50000,1.1,0.73,0.0032155932352436883,0.04443922665808801,0.04314808340703452,0.75,0.024244994423120395,1.0,0.0
lambda-OR,0.93,0.8,50000,1.4,0.73,0.005366429609614448,0.03550593656945227,0.03479480029687326,0.875,0.02550200299232879,1.0,0.0
lambda-OR,0.93,0.9,5000,0.25,0.8300000000000001,-0.009767687325149278,0.09767803510505567,0.09507940812180281,0.875,0.0710231514270197,1.0,0.0
lambda-OR,0.93,0.9,5000,0.4,0.8300000000000001,-0.005166004426051996,0.09826109392103781,0.09528104490993507,0.875,0.0717561704658566,1.0,0.0
lambda-OR,0.93,0.9,5000,0.7,0.8300000000000001,0.05172525997098508,0.09180090781396609,0.1028406353408881,0.8125,0.07321911651250865,1.0,0.0
lambda-OR,0.93,0.9,5000,1.1,0.8300000000000001,-0.016784492458274333,0.12536963651291455,0.12254353649418198,0.75,0.07623159379539295,1.0,0.0
lambda-OR,0.93,0.9,5000,1.4,0.8300000000000001,-0.00322504357908375,0.13875875780999483,0.13439129146172005,0.625,0.08120283768196952,1.0,0.0
lambda-OR,0.93,0.9,10000,0.25,0.8300000000000001,-0.001623903161240406,0.06529124788191738,0.06323883238036139,0.875,0.050156001927181025,1.0,0.0
lambda-OR,0.93,0.9,10000,0.4,0.8300000000000001,0.02496093640578064,0.07331545188621065,0.07524796750545984,0.75,0.05068107142284726,1.0,0.0
lambda-OR,0.93,0.9,10000,0.7,0.8300000000000001,0.03414363456828677,0.06630682691062685,0.07271585707776397,0.875,0.05192227288713648,1.0,0.0
lambda-OR,0.93,0.9,10000,1.1,0.8300000000000001,0.011717003680351654,0.06649295614370046,0.06543905038986998,0.875,0.05446937463527162,1.0,0.0
lambda-OR,0.93,0.9,10000,1.4,0.8300000000000001,-0.006373609236531838,0.08055120292786334,0.07825335883848987,0.875,0.05694883941738872,1.0,0.0
lambda-OR,0.93,0.9,20000,0.25,0.8300000000000001,0.003660232530633885,0.03742481826871241,0.036420814937636645,0.9375,0.03546885260501021,1.0,0.0
lambda-OR,0.93,0.9,20000,0.4,0.8300000000000001,0.009201594029454817,0.045881474860380085,0.0453674961793833,0.875,0.035689275217520425,1.0,0.0
lambda-OR,0.93,0.9,20000,0.7,0.8300000000000001,0.0048482400884014495,0.04040698799419442,0.039423150791065266,0.9375,0.036624177137269974,1.0,0.0
lambda-OR,0.93,0.9,20000,1.1,0.8300000000000001,-0.005241786215060856,0.04767331793057932,0.04645616199792679,1.0,0.03821494857594599,1.0,0.0
lambda-OR,0.93,0.9,20000,1.4,0.8300000000000001,-0.02718292121655244,0.058076065918273974,0.062457495938238024,0.8125,0.039902570314311124,1.0,0.0
lambda-OR,0.93,0.9,35000,0.25,0.8300000000000001,0.0008692671425481989,0.029634653075978245,0.028706793566425207,0.9375,0.026810291312533107,1.0,0.0
lambda-OR,0.93,0.9,35000,0.4,0.8300000000000001,-0.0015956629412166093,0.047341054117853915,0.045865543520160056,0.6875,0.026984566172610254,1.0,0.0
lambda-OR,0.93,0.9,35000,0.7,0.8300000000000001,0.005343638875796197,0.04689890546963192,0.04572299861441504,0.75,0.027659610320807423,1.0,0.0
lambda-OR,0.93,0.9,35000,1.1,0.8300000000000001,-1.0915208040418456e-05,0.036603624014052906,0.03544130823514818,0.9375,0.02890856110266418,1.0,0.0
lambda-OR,0.93,0.9,35000,1.4,0.8300000000000001,-0.002036431642907441,0.04113991321939308,0.039885570508696865,0.875,0.030334180494675907,1.0,0.0
lambda-OR,0.93,0.9,50000,0.25,0.8300000000000001,0.003038753370500623,0.03521532953367954,0.034232236146314175,0.75,0.022434884490189523,1.0,0.0
lambda-OR,0.93,0.9,50000,0.4,0.8300000000000001,0.005826209408532738,0.04079597384674438,0.03992789414112409,0.625,0.022611599948129082,1.0,0.0
lambda-OR,0.93,0.9,50000,0.7,0.8300000000000001,-0.012230824112938694,0.04333242772429647,0.043702816215696376,0.6875,0.023059521177693144,1.0,0.0
lambda-OR,0.93,0.9,50000,1.1,0.8300000000000001,-0.007993782495853932,0.03312348614086523,0.033052882768865345,0.875,0.02413269003156605,1.0,0.0
lambda-OR,0.93,0.9,50000,1.4,0.8300000000000001,0.0018356940002027533,0.0338640706818452,0.03284009135813762,0.9375,0.025363317951701284,1.0,0.0
lambda-OR,0.93,0.95,5000,0.25,0.8799999999999999,0.0014774811900315366,0.06297489568225413,0.06099307824639418,1.0,0.0713461951949919,1.0,0.0
lambda-OR,0.93,0.95,5000,0.4,0.8799999999999999,0.009410565475155347,0.08859621457337137,0.08629755154114957,0.875,0.07118036136069458,1.0,0.0
lambda-OR,0.93,0.95,5000,0.7,0.8799999999999999,-0.02533567997286907,0.08709639789190997,0.08805434570522014,0.875,0.07301370161297133,1.0,0.0
lambda-OR,0.93,0.95,5000,1.1,0.8799999999999999,-0.01634613875806886,0.0941147896628811,0.09258072306644548,0.875,0.07617026859601159,1.0,0.0
