code,log_or,p_two,group
H65.92,5.795515173431857,2.027452841056543,H
R60,4.262065095323574,1.458141462530289,R
Z20.6,0.1625129630135459,-0.043288645724006494,Z
R60.9,4.250623688377918,1.2822415846190311,R
J30.0,-0.928698978013873,0.04959998395414972,J
L30,5.008933553985094,1.4262700916916038,L
Z68.54,4.750714895672273,1.454826271149445,Z
R62.50,5.516102781789464,2.0085680496438973,R
P83,4.7536788062736965,1.3713217202030696,P
H52.22,4.192090748745569,1.0553330636699898,H
L85,4.926856798893148,1.674136016671119,L
L50.8,2.2315446880846914,0.41664761309324105,L
Z23,2.1857769551515545,0.7108783929239822,Z
P01,5.336987389169187,1.617862129752888,P
Z03.89,4.321348796060246,1.371470941101416,Z
Z71.89,2.1459383349981924,0.5384591468343637,Z
L44.4,-1.6245938278288417,0.37024229413204535,L
L71,2.105755235131553,0.5003928315681703,L
Z46,5.062770960166076,1.6617630813538709,Z
Z00.12,3.6544188526478973,1.16348086631092,Z
J11.00,1.3101843257359802,0.28606527029860584,J
P23,3.336752562707627,0.8671897493029412,P
R14.3,4.533302457863915,1.1471552013701545,R
Z96.22,5.377683457486554,1.5072613342163337,Z
J04,1.7215579838822919,0.3893057871520632,J
H52,4.36425490709573,1.3637941866037782,H
P59,0.6946939151231353,-0.3015490428685653,P
Z04.9,5.676099802353683,1.8328492179861289,Z
Z01.89,3.855120092811321,1.447963694902617,Z
J15.7,0.4209087408015986,0.29383696147414445,J
R29.4,0.8213480307635517,-0.06333350450867316,R
J21.0,0.7869965386367506,-0.2183961493044711,J
P05.00,4.032302406460412,1.381655752746968,P
L03.89,-0.393279596568332,0.025637800835380264,L
R53.83,5.03235549902633,1.7607367762183042,R
J18,0.899795411563128,0.04135124111659194,J
P92.6,5.391883773770677,2.0559457298328963,P
H69.93,4.453397349127259,1.1695895933639935,H
Z20.89,1.4885126677779514,0.2865377401968299,Z
P92,2.6324485659857615,0.9144726706723375,P
P61.2,4.585815670996147,1.0139086815799887,P
H50.32,4.711061423082701,1.1954647274568853,H
L53.9,4.497812499508442,1.543508749116007,L
P22.8,3.700776927934709,0.7891208494221084,P
H68,3.8742449950427504,1.375285044844801,H
P59.8,0.5709033936707454,0.18878197108654463,P
L30.9,6.188312384190438,2.5293586166238726,L
H65.91,6.529573121228596,2.203526337789288,H
R63,7.1055577603895586,3.144195720765368,R
J35.03,1.496112262648001,0.5092829583302558,J
P02.5,1.405732983877835,0.27092007370008975,P
L04,0.18717354715551948,0.213956522865126,L
H50.34,4.204683710043349,1.230331533784132,H
L20.89,0.038269750178191383,0.2589369175132872,L
Z76.1,-0.9852152767423398,0.390246156685387,Z
H60.33,0.3998826399832443,0.05929296687155265,H
Z13.9,2.849375318937312,0.8232369982173781,Z
Z01,6.297565782954811,2.6625710239482996,Z
H50.51,4.3923553577773795,1.1480989497768008,H
J96.00,5.152970602021717,1.3993130291918665,J
R63.8,4.410902593823722,1.6096110500653864,R
R10.84,2.380063477115864,0.35480578008775016,R
P59.0,4.822824818416207,1.3503029263476654,P
Z05.1,4.470005761223064,1.0916963677126663,Z
R63.5,4.1760575067572265,1.2555660855418924,R
R29.3,3.8193713623795698,0.7059431556135993,R
L03.03,0.9217213737609731,0.33817945348471073,L
R56.01,3.4557442933074825,1.2420469389078663,R
H91.90,6.927582535483734,2.5362143656978713,H
P25.0,4.390618654639048,1.0604471937896647,P
Z91,4.831749028748988,1.706088491259102,Z
L02.92,-0.09113578150452974,0.223148836192783,L
Z51.89,5.033512985427737,1.979056696360813,Z
L98.9,1.9156739326989773,0.45857299092598974,L
R31,2.262815840265074,0.5460459052270534,R
Z84,4.780547064645846,1.4737343037158739,Z
L81,4.657996826571179,1.7199785174357705,L
J01.10,1.091340124515491,0.27388876609863183,J
R79,4.848942431261119,1.5748153335891755,R
Z77.22,4.531214990985117,1.2975143598743994,Z
J45.40,4.399720262003557,1.2105435023342466,J
H50.05,4.891307639055882,1.2873039560307031,H
H10.02,0.5529785482737444,0.09799009690487638,H
R93.0,4.3287726606094035,1.2973627923981,R
R56.00,2.319940303150782,0.49991690669753575,R
Z03,6.51951808214722,2.6355231518669138,Z
Z13.89,5.981478441044052,2.3716132288174907,Z
J02.8,5.989994180302914,2.066974790192638,J
R14.1,5.184284612607369,1.587374921973976,R
P00.89,2.1865177031170835,0.6261745203832626,P
Z13.41,4.2662468202103385,1.2736893088682524,Z
L08.9,1.8233723255079655,0.2696158792524953,L
J01.20,0.6547545428979412,0.2133801705736158,J
J05.0,0.49099371545204007,0.06433376256828337,J
P28.89,4.571927176356022,1.5082335414244241,P
H57.9,5.385334148384683,1.5207299408931645,H
R49.8,3.615363718388578,1.1229174000786228,R
L98,1.1080494326428707,0.28172647457749134,L
J34.3,4.000941250259345,1.263819648756949,J
J01,-0.18330293854163854,0.07678281775423945,J
J35.2,7.446546831276072,3.213429992338254,J
H65.30,0.8203692441129327,0.14298861793127465,H
P03.0,2.611671497058949,0.6523791199713876,P
J98.9,2.5795946242230627,0.49317922453939333,J
Z13.5,2.0738535960142177,0.761452432287624,Z
J00,0.7916882125049518,0.390370336099517,J
J20.8,4.700305431391419,1.448775349626755,J
H05.01,-0.12299113345117055,-0.013376623819706343,H
Z83,4.509178422361855,1.4157538101728635,Z
J04.10,4.886305182008367,1.1640759879292721,J
R93.7,3.5217771067714243,1.1653716120463318,R
L03.01,1.0567573206071954,0.19891128249216555,L
H02.40,4.025883572058861,1.4298538674460952,H
R35.8,1.0435165794830288,0.1073539910765223,R
H92.11,4.852829126049748,1.1632634642036406,H
L51.9,1.099346330256362,0.0441236094905344,L
H67,0.787533872138196,0.1582348337701749,H
R45.84,5.059067149997793,1.6783344162762348,R
H66.41,3.159571331051426,0.9984098366960927,H
H10.45,0.410067717350423,-0.04760154571999529,H
J38.5,4.495677698251038,1.5565311836637974,J
Z96,4.754643518330199,1.3510414892337972,Z
J13,2.6999277452588637,0.7472083486995529,J
L24.0,-0.4885699676248243,0.0036852322300003695,L
H11.33,-0.6529664121544835,0.19423228022729994,H
Z13.88,1.4441240915194717,0.11230128822762717,Z
R53,6.329176336939923,2.233348117913058,R
Z13.82,1.9025353978946171,0.2906405330494179,Z
L92.9,5.543641119542416,1.7976375434062657,L
H65.11,1.3314381818260619,0.3754519964130271,H
L60,2.3655716726240588,0.7407824506789685,L
P07.36,4.3711120812231625,1.2664750603935049,P
Z71.1,2.1796039985469444,0.38825556751172347,Z
H66.13,1.343193260723026,0.2792644887843779,H
P92.5,4.6833957950749845,1.2793260440029748,P
Z76.89,4.728754263572516,1.1697425843335962,Z
P03.3,2.0923126442822597,0.597896422944991,P
H61,1.912884821198504,0.46248853919865185,H
P92.8,1.1611744235676138,0.1564799342705051,P
L03.31,-0.31095731889685996,0.18463422053197034,L
L03.02,-0.6668323375558207,-0.034577910661354225,L
J02.0,-0.4266385555854954,0.253962440099397,J
P05.18,4.807223073275667,1.22827143335176,P
