ln_true,ln_naive,se_naive,ln_lam,se_lam,lam,feasible,n,varphi,pi,theta,p_sel,q_sel,detK,a_hat,b_hat,c_hat,d_hat,m
0.6931471805599453,0.5504274270968349,0.035179007567150665,0.6001974807984012,0.036102075127583066,0.0,True,20000,0.5,0.2,0.6931471805599453,0.98,0.98,0.96,2489.5000000000005,1537.5833333333335,7514.499999999999,8458.416666666666,0.02
0.6931471805599453,0.7091507660242706,0.035792650647355616,0.7757835016923905,0.03687617596052719,0.0,True,20000,0.5,0.2,0.6931471805599453,0.98,0.98,0.96,2602.1875,1380.1041666666667,7442.812499999999,8574.895833333332,0.02
0.6931471805599453,0.6184911242990148,0.035288677696674965,0.6746694980798528,0.03624914957100897,0.0,True,20000,0.5,0.2,0.6931471805599453,0.98,0.98,0.96,2548.541666666667,1493.1250000000002,7421.458333333333,8536.875,0.02
0.6931471805599453,0.6922917582861762,0.03559884849445668,0.7562295989630167,0.0366381407090285,0.0,True,20000,0.5,0.2,0.6931471805599453,0.98,0.98,0.96,2631.395833333334,1407.1458333333333,7461.604166666666,8499.854166666666,0.02
0.6931471805599453,0.6341246585884499,0.03565389535856676,0.693431638916078,0.03668734661998163,0.0,True,20000,0.5,0.2,0.6931471805599453,0.98,0.98,0.96,2527.9375000000005,1428.3125,7531.062499999999,8512.6875,0.02
0.6931471805599453,0.5544677238196251,0.035567730837596664,0.6063297212370409,0.03656302370155352,0.0,True,20000,0.5,0.2,0.6931471805599453,0.98,0.98,0.96,2438.3125,1476.2708333333335,7622.687499999999,8462.729166666666,0.02
0.6931471805599453,0.5702344172752911,0.03505753714985132,0.621058651417116,0.03596306174217318,0.0,True,20000,0.5,0.2,0.6931471805599453,0.98,0.98,0.96,2554.145833333334,1539.6041666666667,7496.854166666666,8409.395833333332,0.02
0.6931471805599453,0.579180058242233,0.03558388088990479,0.6333589184162837,0.03658899705405189,0.0,True,20000,0.5,0.2,0.6931471805599453,0.98,0.98,0.96,2456.7708333333335,1466.1458333333335,7568.229166666666,8508.854166666666,0.02
0.6931471805599453,0.5851474977492915,0.03524617985618634,0.6380485067257442,0.03618904267739207,0.0,True,20000,0.5,0.2,0.6931471805599453,0.98,0.98,0.96,2557.0,1499.2500000000002,7556.999999999999,8386.75,0.02
0.6931471805599453,0.6545710434871417,0.03559614303728352,0.7152393314150799,0.03662367634585583,0.0,True,20000,0.5,0.2,0.6931471805599453,0.98,0.98,0.96,2583.166666666667,1422.0416666666667,7524.833333333333,8469.958333333332,0.02
0.6931471805599453,0.5654119657936262,0.035461967398771894,0.6178928749633189,0.036440938447074585,0.0,True,20000,0.5,0.2,0.6931471805599453,0.98,0.98,0.96,2437.6041666666665,1497.8125,7507.395833333333,8557.1875,0.02
0.6931471805599453,0.6184462981339723,0.035503917268415314,0.6756324751616588,0.036504438561502414,0.0,True,20000,0.5,0.2,0.6931471805599453,0.98,0.98,0.96,2528.3750000000005,1457.0416666666667,7509.624999999999,8504.958333333332,0.02
0.6931471805599453,0.6387060109058131,0.035301488723467424,0.6967053182112463,0.03626985969892321,0.0,True,20000,0.5,0.2,0.6931471805599453,0.98,0.98,0.96,2566.7083333333335,1484.3333333333335,7381.291666666666,8567.666666666666,0.02
