feature,beta_true,logOR_true,a,b,c,d,a_obs,b_obs,c_obs,d_obs,logOR_naive,se_naive,p_naive,logOR_lambda,se_lambda,p_lambda,a_hat,b_hat,c_hat,d_hat
53,-0.015536550725158665,-0.011140314243399474,149592,150797,150039,149572,165295,135094,164794,134817,0.0009830165517029632,0.005190144090683671,0.8497788320748146,0.0018579599195409993,0.005291745085656441,0.725509327308032,144490.12987012984,141594.63203463203,143983.37662337656,141360.4329004329
54,0.027239795466166263,0.017683624066536785,150686,149054,149620,150640,164937,134803,165165,135095,0.0007823859770330146,0.005190164917291667,0.8801776997956043,0.001478749996554672,0.005291746755835042,0.7799036564154418,144176.3636363636,141290.30303030304,144320.7792207792,141641.12554112554
55,-0.03320811852992806,-0.04110801938303015,148490,151549,151534,148427,164491,135548,165971,133990,-0.0205177976726572,0.00519086901701427,7.728364775270638e-05,-0.03877294892468073,0.005292125278066121,2.3617692058491697e-13,143210.12987012984,142541.2987012987,145941.55844155842,139735.58441558442
56,0.028333729986965157,0.033000928799476095,151146,148883,148642,151329,165427,134602,163827,136144,0.021109818470441643,0.005188771045934482,4.734402339854734e-05,0.039919047080442485,0.005291806784964047,4.573221696126435e-14,144917.1428571428,140824.76190476192,142038.18181818177,143648.48484848486
57,-0.0006216434047451521,-0.0021728900061483113,149935,150182,149981,149902,165239,134878,165125,134758,-0.00019993984296073233,0.005190624610089449,0.9692735490442362,-0.00037784318662532006,0.005291838103815933,0.9430785153748683,144529.61038961035,141296.1038961039,144443.89610389606,141158.96103896105
58,-0.03869106924688147,-0.0363202855897351,148761,151533,151191,148515,164207,136087,165330,134376,-0.019468128430095856,0.005189252107261981,0.00017569205276376072,-0.036808244019203844,0.005291820451309243,3.5084931860999216e-12,142561.29870129869,143432.98701298703,144908.5714285714,140525.7142857143
59,-0.009725819418487226,-0.00616121615804279,149946,150292,150170,149592,165255,134983,165416,134346,-0.005704040076183247,0.005191178477912536,0.27185756753747825,-0.010777651523382639,0.005291986911896075,0.04169031377044702,144495.84415584413,141445.10822510824,145035.84415584413,140451.7748917749
60,0.0016762977973924843,-0.0005674440446902923,150029,150389,149654,149928,164876,135542,164652,134930,-0.0031658968491479764,0.0051891738543847115,0.5417978795641263,-0.005985658520161131,0.00529160259801037,0.2579870127142002,143713.24675324673,142399.13419913422,143740.2597402597,141575.93073593074
61,0.008452130508588387,0.0032963360735286996,150282,149572,150181,149965,165470,134384,164961,135185,0.009023633133410333,0.005190758253835738,0.08213971269828454,0.017052139138803074,0.0052919128879359975,0.0012716521944985619,145086.23376623372,140489.00432900435,144009.09090909088,141844.24242424243
62,-0.03043198600591277,-0.03754329963403057,148702,150762,152055,148481,164008,135456,166173,134363,-0.021215909251899236,0.005190375021582175,4.359556938908316e-05,-0.04009838271873667,0.005292043441057111,3.533436523639491e-14,142630.64935064933,142573.16017316017,146010.12987012984,140214.63203463203
63,-0.03431069895767802,-0.042506140938654055,148266,151851,151337,148546,163937,136180,165498,134385,-0.022745549999949814,0.005189095365836287,1.1687548768456161e-05,-0.04300775066358137,0.005291879806011983,4.396043350913661e-16,142162.33766233764,143663.37662337662,145122.0779220779,140480.77922077922
64,0.00618390057501865,0.011005029287587523,150463,149248,149927,150362,164857,134854,165065,135224,0.0014790403312671886,0.005189851159457158,0.7756540693166767,0.0027957415819703604,0.005291692612182072,0.5972727228004524,144045.974025974,141393.0735930736,144123.89610389608,141865.6277056277
65,-0.014461707944193325,-0.009113044539776266,149584,150745,149939,149732,165035,135294,165058,134613,-0.005185528830740067,0.005190156003801619,0.31774214788031585,-0.009800967004916951,0.005291760777253873,0.0640088364067027,144048.5714285714,141979.04761904763,144432.20779220777,140968.7445887446
66,0.007296874497356419,0.009233974160466656,149943,150224,149084,150749,164559,135608,164547,135286,-0.0023043813682675804,0.00518844788263,0.656943580294056,-0.004357915990122974,0.0052915279618563444,0.41018690260864676,143267.27272727268,142606.0606060606,143418.96103896102,142136.27705627706
67,0.02353285169342538,0.026159700792751543,151545,149034,149003,150418,166281,134298,164438,134983,0.016233109456604687,0.005191301517463316,0.0017661038649280422,0.03067172948212036,0.0052921509546744955,6.803601068340355e-09,146184.15584415582,140081.55844155845,143434.80519480517,141728.05194805196
68,-0.051085808090515286,-0.05108267527794337,148124,151923,151908,148045,164439,135608,165409,134544,-0.013758554622840397,0.005189751447981646,0.00802298744598119,-0.026008295887601913,0.005291780004352999,8.885123779098797e-07,143111.42857142852,142647.61904761905,144923.89610389608,140745.6277056277
69,0.007881927509966429,0.00457318181789511,150231,149849,149808,150112,165255,134825,165093,134827,0.0009956148893984303,0.0051905961674085154,0.847890035687793,0.0018815083869479843,0.005291832312486714,0.7221779607914354,144577.92207792203,141212.55411255412,144366.49350649345,141271.60173160175
70,0.03794429848199445,0.02831728974275584,150757,149086,148790,151367,165024,134819,164704,135453,0.006632549732262078,0.005189519994674318,0.20122611036720284,0.012538511249188708,0.005291663540085576,0.017812933466678792,144281.03896103892,141283.72294372294,143536.10389610386,142327.70562770564
71,-0.00921853210637191,-0.003776149962575498,149562,150298,149985,150155,165299,134561,164884,135256,0.007665383348313161,0.005190316245163988,0.13971250284293715,0.01448735011840342,0.005291807125347147,0.006187156225807623,144772.20779220777,140808.7445887446,143872.20779220777,141975.41125541125
