feature,beta_true,a,b,c,d,logOR_hat,se_wald,p_wald,neglog10p
1171,0.04676829961785237,151421,148668,148428,151483,0.03872169104798674,0.005164212046101178,6.475784552961054e-14,13.1887076085006
1172,-0.042274044080657575,148371,151631,151458,148540,-0.04118798319288344,0.005164243792636079,1.516327122026159e-15,14.819207096879786
1173,-0.014668256802696055,149291,150998,150477,149234,-0.019663809485255205,0.00516403548895444,0.00014018717591919458,3.8532917130616733
1174,0.027364224249454495,151224,149082,148843,150851,0.02766613448794804,0.005164095506196771,8.442723401315517e-08,7.073517438755929
1175,0.03457661866435057,151419,148685,148724,151172,0.03454676139107624,0.0051641626684511485,2.2361010338424125e-11,10.650508577597353
1176,-0.026195207794607784,148988,150773,150727,149512,-0.020003158290796283,0.005164037766856834,0.00010726140519077156,3.9695565178092673
1177,-0.0009915359722750814,150070,150185,150397,149348,-0.007765300987101951,0.005163987067951027,0.13264797272293946,0.877299383012738
1178,-0.008011759998582783,150001,149860,150187,149952,-0.000625503548268416,0.0051639708192634266,0.9035893309645047,0.044028905607581575
1179,0.03660925348639238,151194,148322,148814,151670,0.03818797110001265,0.005164211253988032,1.4169109992992868e-13,12.848657428317905
1180,0.0776032267724639,153011,146748,147377,152864,0.0783474306170504,0.005164965989007643,5.672431707616668e-52,51.24623072403426
1181,-0.05669696960546444,147253,152164,152512,148071,-0.06235787583126136,0.005164608294882319,1.4478044509214185e-33,32.83929009257313
1182,0.028394325347616094,150559,148906,149071,151464,0.026964980141047933,0.005164098513127668,1.7736091539830851e-07,6.751142078399385
1183,-0.08,146849,152559,153791,146801,-0.08466288593622241,0.005165146847304457,2.2108628890521066e-60,59.65543819020034
1184,0.00043583060108187775,150190,149869,150337,149604,-0.002748048433065996,0.0051639784769785205,0.5946171092120953,0.22576259878143107
1185,-0.03435443196630178,148727,151692,151023,148558,-0.036196306750301555,0.005164187340416369,2.3985556313209436e-12,11.62005020419599
1186,0.061714248022073925,152985,147703,147481,151831,0.06420486885139859,0.005164653665696761,1.7609138933738257e-35,34.75426188000483
